label_idx	cell	target	condition	category	label_name
0	8988T	DNase	None	DNase	0--8988T--DNase--None
1	AoSMC	DNase	None	DNase	1--AoSMC--DNase--None
2	Chorion	DNase	None	DNase	2--Chorion--DNase--None
3	CLL	DNase	None	DNase	3--CLL--DNase--None
4	Fibrobl	DNase	None	DNase	4--Fibrobl--DNase--None
5	FibroP	DNase	None	DNase	5--FibroP--DNase--None
6	Gliobla	DNase	None	DNase	6--Gliobla--DNase--None
7	GM12891	DNase	None	DNase	7--GM12891--DNase--None
8	GM12892	DNase	None	DNase	8--GM12892--DNase--None
9	GM18507	DNase	None	DNase	9--GM18507--DNase--None
10	GM19238	DNase	None	DNase	10--GM19238--DNase--None
11	GM19239	DNase	None	DNase	11--GM19239--DNase--None
12	GM19240	DNase	None	DNase	12--GM19240--DNase--None
13	H9ES	DNase	None	DNase	13--H9ES--DNase--None
14	HeLa-S3	DNase	IFNa4h	DNase	14--HeLa-S3--DNase--IFNa4h
15	Hepatocytes	DNase	None	DNase	15--Hepatocytes--DNase--None
16	HPDE6-E6E7	DNase	None	DNase	16--HPDE6-E6E7--DNase--None
17	HSMM_emb	DNase	None	DNase	17--HSMM_emb--DNase--None
18	HTR8svn	DNase	None	DNase	18--HTR8svn--DNase--None
19	Huh-7.5	DNase	None	DNase	19--Huh-7.5--DNase--None
20	Huh-7	DNase	None	DNase	20--Huh-7--DNase--None
21	iPS	DNase	None	DNase	21--iPS--DNase--None
22	Ishikawa	DNase	Estradiol_100nM_1hr	DNase	22--Ishikawa--DNase--Estradiol_100nM_1hr
23	Ishikawa	DNase	4OHTAM_20nM_72hr	DNase	23--Ishikawa--DNase--4OHTAM_20nM_72hr
24	LNCaP	DNase	androgen	DNase	24--LNCaP--DNase--androgen
25	MCF-7	DNase	Hypoxia_LacAcid	DNase	25--MCF-7--DNase--Hypoxia_LacAcid
26	Medullo	DNase	None	DNase	26--Medullo--DNase--None
27	Melano	DNase	None	DNase	27--Melano--DNase--None
28	Myometr	DNase	None	DNase	28--Myometr--DNase--None
29	Osteobl	DNase	None	DNase	29--Osteobl--DNase--None
30	PanIsletD	DNase	None	DNase	30--PanIsletD--DNase--None
31	PanIslets	DNase	None	DNase	31--PanIslets--DNase--None
